media_id,media_type,group_id,rank
D-0199,computer,1.1,32
D-0200,computer,1.1,32
D-0201,computer,1.1,32
D-0202,computer,1.1,32
D-0203,computer,1.1,32
D-0204,computer,1.1,32
D-0205,computer,3.1,22
D-0206,computer,3.1,27
D-0207,computer,3.1,27
D-0208,computer,5.1,22
D-0209,external hard drive,NON,24
D-0210,external hard drive,2.1,22
D-0211,external hard drive,3.2,17
D-0212,external hard drive,3.2,15
D-0213,external hard drive,NON,15
D-0214,external hard drive,3.2,15
D-0215,external hard drive,NON,12
D-0216,internal hard drive,2.1,29
D-0217,external hard drive,2.1,24
D-0218,external hard drive,3.2,17
D-0219,external hard drive,3.2,13
D-0220,external hard drive,2.2,19
D-0221,external hard drive,2.2,12
D-0222,internal hard drive,NON,10
D-0223,internal hard drive,2.1,24
D-0224,internal hard drive,2.2,19
D-0225,external hard drive,1.2,18
D-0226,external hard drive,1.2,27
D-0227,external hard drive,1.2,22
D-0228,internal hard drive,NON,12
D-0229,internal hard drive,NON,12
D-0230,internal hard drive,1.1,24
D-0231,external hard drive,3.1,22
D-0232,external hard drive,3.2,15
D-0233,external hard drive,3.3,13
D-0234,computer,3.3,18
D-0235,external hard drive,3.2,17
D-0236,external hard drive,3.2,13
D-0237,external hard drive,3.2,13
D-0238,external hard drive,1.2,22
D-0239,external hard drive,5.1,13
D-0240,external hard drive,3.2,15
D-0241,external hard drive,3.2,13
D-0242,external hard drive,5.1,13
D-0243,internal hard drive,3.1,27
D-0244,internal hard drive,3.2,15
D-0245,internal hard drive,3.2,13
D-0246,internal hard drive,3.2,13
D-0247,computer,3.3,23
D-0248,internal hard drive,3.2,17
D-0249,external hard drive,1.2,18
D-0250,external hard drive,3.2,13
D-0251,external hard drive,2.2,15
D-0252,internal hard drive,NON,18